biomarker,terminology,readcode,readterm
ALP,read2,44F..,Serum alkaline phosphatase
ALP,read2,44F3.,Total alkaline phosphatase
ALP,ctv3,XE2px,Serum alkaline phosphatase
ALP,ctv3,44F3.,Alkaline phosphatase level
