biomarker,terminology,readcode,readterm
Totalbilirubin,read2,44EC.,Serum total bilirubin level
Totalbilirubin,read2,44E..,Serum bilirubin level
Totalbilirubin,read2,44E3.,Total bilirubin
Totalbilirubin,ctv3,XaERu,Serum total bilirubin level
Totalbilirubin,ctv3,44E..,Serum bilirubin level
Totalbilirubin,ctv3,XE2qu,Total bilirubin level
