biomarker,terminology,readcode,readterm
Haematocritperc,read2,4258.,Haematocrit
Haematocritperc,read2,4257.,Packed cell volume
Haematocritperc,read2,425..,Haematocrit - PCV
Haematocritperc,ctv3,X76tb,Haematocrit
Haematocritperc,ctv3,X76tc,Packed cell volume
Haematocritperc,ctv3,XE2Zq,Haematocrit - PCV
